openshift-kube-apiserver                           kube-apiserver-crc                                                265m,5m,5m,5m,10m
openshift-oauth-apiserver                          apiserver-5cf8fddc8-vgv4b                                         150m
openshift-kube-controller-manager                  revision-pruner-6-crc                                             150m
openshift-route-controller-manager                 route-controller-manager-86ddb6ffbf-c4jtt                         100m
openshift-ingress                                  router-default-6fcb8bbdff-r9wvs                                   100m
openshift-image-registry                           image-registry-7bd6dc77-k6pt7                                     100m
openshift-controller-manager                       controller-manager-5496846d58-vqfc6                               100m
openshift-apiserver                                apiserver-68644c65f7-cv5qj                                        100m,10m
openshift-monitoring                               prometheus-k8s-0                                                  70m,1m,1m,1m,1m,1m
openshift-kube-controller-manager                  kube-controller-manager-crc                                       60m,10m,5m,5m
openshift-dns                                      dns-default-lftsg                                                 50m,10m
openshift-machine-config-operator                  machine-config-server-dg7bz                                       20m
openshift-machine-config-operator                  machine-config-operator-567bf49fc-2xfht                           20m,20m
openshift-machine-config-operator                  machine-config-daemon-t4xgg                                       20m,20m
openshift-machine-config-operator                  machine-config-controller-7db488cb58-nh72v                        20m,20m
openshift-machine-config-operator                  kube-rbac-proxy-crio-crc                                          20m
openshift-cluster-version                          cluster-version-operator-6bb47cdc5b-c5gsg                         20m
openshift-authentication-operator                  authentication-operator-78fff77bfc-wmr6t                          20m
openshift-kube-scheduler                           openshift-kube-scheduler-crc                                      15m,5m,5m
openshift-service-ca-operator                      service-ca-operator-58cb6fc489-h7z27                              10m
openshift-service-ca                               service-ca-7674ff74cb-7znkw                                       10m
openshift-ovn-kubernetes                           ovnkube-node-ghgfj                                                10m,10m,10m,10m,10m,10m,10m,10m
openshift-ovn-kubernetes                           ovnkube-control-plane-bc547cf5c-lrf9l                             10m,10m
openshift-operators                                servicemesh-operator3-78d9b85f7f-xndhg                            10m
openshift-operator-lifecycle-manager               packageserver-b8d4f664-5h9rp                                      10m
openshift-operator-lifecycle-manager               package-server-manager-748b96b7ff-l9r75                           10m,10m
openshift-operator-lifecycle-manager               olm-operator-84f78789df-fw9tg                                     10m
openshift-operator-lifecycle-manager               collect-profiles-29157390-w69bg                                   10m
openshift-operator-lifecycle-manager               collect-profiles-29157375-24fvm                                   10m
openshift-operator-lifecycle-manager               collect-profiles-29157360-rb5lx                                   10m
openshift-operator-lifecycle-manager               catalog-operator-748dc4b849-p5xxg                                 10m
openshift-network-operator                         network-operator-598c5fc566-qbcn4                                 10m
openshift-network-operator                         iptables-alerter-vbdwc                                            10m
openshift-network-node-identity                    network-node-identity-rhs4z                                       10m,10m
openshift-network-diagnostics                      network-check-target-qxc9s                                        10m
openshift-network-diagnostics                      network-check-source-84c7c696bb-dxg66                             10m
openshift-network-console                          networking-console-plugin-5c8b69bfcf-tktnj                        10m
openshift-multus                                   network-metrics-daemon-rt88d                                      10m,10m
openshift-multus                                   multus-dt9zw                                                      10m
openshift-multus                                   multus-admission-controller-865f9bc488-wwcdj                      10m,10m
openshift-multus                                   multus-additional-cni-plugins-gdhwh                               10m
openshift-monitoring                               thanos-querier-557dfdfb66-h27g2                                   10m,1m,1m,1m,1m,1m
openshift-monitoring                               monitoring-plugin-8c65b9f46-96442                                 10m
openshift-monitoring                               cluster-monitoring-operator-6db6cb4c67-v9h52                      10m
openshift-marketplace                              redhat-operators-dflnz                                            10m
openshift-marketplace                              redhat-marketplace-tc8dz                                          10m
openshift-marketplace                              d0dc32661945d41324e03f0f16d3fb085e93ddffb7b8cbaef08493032dbrhs9   10m
openshift-marketplace                              community-operators-tsvcs                                         10m
openshift-marketplace                              certified-operators-qb48z                                         10m
openshift-marketplace                              af8b59ae9f1029ec07bfa7614a1fd5fa5fb1956094929f7d8df2c2f427j97qf   10m
openshift-marketplace                              0afa9df6902846db889628ab4e5e7116145294889ed764a80feb966886ljfw6   10m
openshift-machine-api                              machine-api-operator-7696b57747-88wwt                             10m,10m
openshift-machine-api                              control-plane-machine-set-operator-7db6786b95-jf8mz               10m
openshift-kube-storage-version-migrator-operator   kube-storage-version-migrator-operator-7444847b5c-n85m4           10m
openshift-kube-storage-version-migrator            migrator-dccdcd4d5-vz982                                          10m,1m
openshift-kube-scheduler-operator                  openshift-kube-scheduler-operator-78cdd746fd-wnnwp                10m
